date,starttime,endtime,stimeRollingByMonth,etimeRollingByMonth
2019-06-03,9.72,19.78,9.72,19.78
2019-06-04,9.72,19.12,9.72,19.45
2019-06-05,9.72,19.83,9.72,19.58
2019-06-06,9.67,19.82,9.7,19.64
2019-06-07,9.7,19.82,9.7,19.67
2019-06-10,9.75,19.62,9.71,19.66
2019-06-11,9.67,20.48,9.7,19.78
2019-06-12,9.75,20.5,9.71,19.87
2019-06-13,9.75,19.5,9.71,19.83
2019-06-14,9.78,19.22,9.72,19.77
2019-06-17,9.83,19.88,9.73,19.78
2019-06-18,9.67,19.82,9.73,19.78
2019-06-19,9.72,19.67,9.73,19.77
2019-06-20,9.7,19.67,9.72,19.77
2019-06-21,9.7,21.6,9.72,19.89
2019-06-24,9.83,21.72,9.73,20.0
2019-06-25,9.83,21.0,9.74,20.06
2019-06-26,9.67,19.77,9.73,20.04
2019-06-27,9.83,18.75,9.74,19.98
2019-06-28,9.83,19.0,9.74,19.93
2019-07-01,9.75,19.5,9.74,19.91
2019-07-02,9.72,19.5,9.74,19.89
2019-07-03,9.75,19.75,9.74,19.88
2019-07-04,9.75,20.23,9.74,19.9
2019-07-05,9.73,20.25,9.74,19.91
2019-07-08,9.67,19.95,9.74,19.91
2019-07-09,9.83,18.67,9.74,19.87
2019-07-10,9.78,19.62,9.74,19.86
2019-07-11,9.75,20.25,9.74,19.87
2019-07-12,9.78,20.67,9.75,19.9
2019-07-16,9.78,19.5,9.75,19.89
2019-07-17,9.82,19.95,9.75,19.92
2019-07-18,9.77,20.0,9.75,19.92
2019-07-19,9.72,20.43,9.75,19.94
2019-07-22,9.88,19.75,9.76,19.94
2019-07-23,9.92,19.73,9.77,19.94
2019-07-24,9.75,19.92,9.77,19.92
2019-07-25,9.92,19.58,9.77,19.89
2019-07-26,9.62,19.65,9.77,19.9
2019-07-29,9.75,20.93,9.77,19.96
2019-07-30,9.77,21.25,9.77,20.0
2019-07-31,9.72,23.25,9.77,20.12
2019-08-01,10.05,19.93,9.78,20.13
